 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=   47775744.
                              IT=    0  ITMX=   10
                              MDS= -1   ND=  48
   1     -0.8609002E-02 0.2876E-03 -0.8609002E-02 0.2876E-03  0.000    
   2     -0.9218266E-02 0.6547E-04 -0.9191915E-02 0.6196E-04  4.001    
   3     -0.9176242E-02 0.5034E-04 -0.9182262E-02 0.3877E-04  1.982    
   4     -0.9163594E-02 0.4774E-04 -0.9174686E-02 0.3002E-04  1.341    
   5     -0.9147929E-02 0.4730E-04 -0.9166880E-02 0.2532E-04  1.059    
   6     -0.9122754E-02 0.4707E-04 -0.9156882E-02 0.2229E-04 0.9824    
   7     -0.9183855E-02 0.4708E-04 -0.9161918E-02 0.2014E-04 0.8613    
   8     -0.9245235E-02 0.4714E-04 -0.9175146E-02 0.1851E-04  1.122    
   9     -0.9191545E-02 0.4684E-04 -0.9177396E-02 0.1721E-04 0.9930    
  10     -0.9190978E-02 0.4742E-04 -0.9178999E-02 0.1618E-04 0.8894    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.9140095E-02 0.1336E-04 -0.9140095E-02 0.1336E-04  0.000    
   2     -0.9143348E-02 0.1338E-04 -0.9141721E-02 0.9454E-05 0.2959E-01
   3     -0.9145630E-02 0.1338E-04 -0.9143023E-02 0.7722E-05 0.4326E-01
   4     -0.9165766E-02 0.1337E-04 -0.9148736E-02 0.6686E-05 0.7543    
   5     -0.9136166E-02 0.1335E-04 -0.9146221E-02 0.5978E-05 0.7429    
   6     -0.9163481E-02 0.1337E-04 -0.9149104E-02 0.5458E-05 0.8722    
   7     -0.9165221E-02 0.1339E-04 -0.9151408E-02 0.5054E-05 0.9341    
   8     -0.9134054E-02 0.1337E-04 -0.9149245E-02 0.4727E-05  1.011    
   9     -0.9136073E-02 0.1336E-04 -0.9147783E-02 0.4457E-05 0.9927    
  10     -0.9160655E-02 0.1337E-04 -0.9149073E-02 0.4228E-05 0.9750    
  11     -0.9146899E-02 0.1338E-04 -0.9148876E-02 0.4032E-05 0.8800    
  12     -0.9154573E-02 0.1338E-04 -0.9149351E-02 0.3860E-05 0.8150    
  13     -0.9143476E-02 0.1336E-04 -0.9148898E-02 0.3708E-05 0.7620    
  14     -0.9143990E-02 0.1337E-04 -0.9148548E-02 0.3574E-05 0.7131    
  15     -0.9167774E-02 0.1339E-04 -0.9149832E-02 0.3453E-05 0.8000    
  16     -0.9147233E-02 0.1339E-04 -0.9149670E-02 0.3343E-05 0.7491    
  17     -0.9155230E-02 0.1340E-04 -0.9149997E-02 0.3244E-05 0.7124    
  18     -0.9129357E-02 0.1337E-04 -0.9148854E-02 0.3152E-05 0.8025    
  19     -0.9144380E-02 0.1333E-04 -0.9148618E-02 0.3068E-05 0.7639    
  20     -0.9163163E-02 0.1339E-04 -0.9149346E-02 0.2990E-05 0.7828    
   
   
 Integral virtual contribrtion:  -9.1493455549311528E-003 +-   2.9901202031713142E-006
 with chisq    =  0.78275759154486158     
  
  
  
 For xq =         1000 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=   47775744.
                              IT=    0  ITMX=   10
                              MDS= -1   ND=  48
   1     -0.1308477E-01 0.3973E-03 -0.1308477E-01 0.3973E-03  0.000    
   2     -0.1385137E-01 0.1052E-03 -0.1380624E-01 0.9926E-04  3.305    
   3     -0.1376463E-01 0.8492E-04 -0.1378179E-01 0.6419E-04  1.680    
   4     -0.1381637E-01 0.8118E-04 -0.1379539E-01 0.5023E-04  1.147    
   5     -0.1388860E-01 0.8129E-04 -0.1382184E-01 0.4267E-04  1.097    
   6     -0.1383939E-01 0.8032E-04 -0.1382577E-01 0.3766E-04 0.8814    
   7     -0.1385665E-01 0.8053E-04 -0.1383141E-01 0.3410E-04 0.7527    
   8     -0.1404722E-01 0.8068E-04 -0.1386540E-01 0.3139E-04  1.537    
   9     -0.1392104E-01 0.8052E-04 -0.1387288E-01 0.2924E-04  1.395    
  10     -0.1405378E-01 0.8133E-04 -0.1389430E-01 0.2751E-04  1.736    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.1388197E-01 0.2364E-04 -0.1388197E-01 0.2364E-04  0.000    
   2     -0.1387982E-01 0.2366E-04 -0.1388090E-01 0.1672E-04 0.4156E-02
   3     -0.1389089E-01 0.2364E-04 -0.1388423E-01 0.1365E-04 0.6162E-01
   4     -0.1390529E-01 0.2357E-04 -0.1388954E-01 0.1181E-04 0.2406    
   5     -0.1387911E-01 0.2364E-04 -0.1388745E-01 0.1057E-04 0.2195    
   6     -0.1391287E-01 0.2366E-04 -0.1389169E-01 0.9648E-05 0.3683    
   7     -0.1391250E-01 0.2363E-04 -0.1389467E-01 0.8932E-05 0.4178    
   8     -0.1385749E-01 0.2360E-04 -0.1389004E-01 0.8354E-05 0.6673    
   9     -0.1389927E-01 0.2365E-04 -0.1389106E-01 0.7877E-05 0.6008    
  10     -0.1393150E-01 0.2367E-04 -0.1389511E-01 0.7474E-05 0.8271    
  11     -0.1386851E-01 0.2358E-04 -0.1389269E-01 0.7125E-05 0.8599    
  12     -0.1389600E-01 0.2364E-04 -0.1389297E-01 0.6821E-05 0.7834    
  13     -0.1391628E-01 0.2363E-04 -0.1389477E-01 0.6554E-05 0.7930    
  14     -0.1390073E-01 0.2364E-04 -0.1389519E-01 0.6316E-05 0.7365    
  15     -0.1388052E-01 0.2360E-04 -0.1389422E-01 0.6101E-05 0.7097    
