   
   
 Integral=  -3.3936545852240501E-006 +-   1.1273285852039932E-009
 with chisq    =   1.0362528315059785     
  
  
  
 For xq =          500 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=   48275138.
                              IT=    0  ITMX=   15
                              MDS=  1   ND=  50
   1     -0.1181445E-05 0.3364E-07 -0.1181445E-05 0.3364E-07  0.000    
   2     -0.1155901E-05 0.1041E-07 -0.1158223E-05 0.1003E-07 0.5357    
   3     -0.1160772E-05 0.7889E-08 -0.1159790E-05 0.6214E-08 0.2890    
   4     -0.1151377E-05 0.7313E-08 -0.1156315E-05 0.4745E-08 0.4478    
   5     -0.1162993E-05 0.6943E-08 -0.1158443E-05 0.3918E-08 0.4935    
   6     -0.1161397E-05 0.6747E-08 -0.1159186E-05 0.3388E-08 0.4236    
   7     -0.1169382E-05 0.6706E-08 -0.1161280E-05 0.3023E-08 0.6617    
   8     -0.1159809E-05 0.6621E-08 -0.1161027E-05 0.2750E-08 0.5734    
   9     -0.1172856E-05 0.6724E-08 -0.1162747E-05 0.2545E-08 0.8364    
  10     -0.1163133E-05 0.6659E-08 -0.1162796E-05 0.2377E-08 0.7439    
  11     -0.1156053E-05 0.6549E-08 -0.1162021E-05 0.2235E-08 0.7630    
  12     -0.1173217E-05 0.7004E-08 -0.1163072E-05 0.2129E-08 0.9065    
  13     -0.1155792E-05 0.6737E-08 -0.1162419E-05 0.2030E-08 0.9193    
  14     -0.1159652E-05 0.6633E-08 -0.1162184E-05 0.1941E-08 0.8612    
  15     -0.1179176E-05 0.6683E-08 -0.1163540E-05 0.1864E-08  1.234    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=  488281250.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  25
   1     -0.1168804E-05 0.2228E-08 -0.1168804E-05 0.2228E-08  0.000    
   2     -0.1165876E-05 0.2259E-08 -0.1167364E-05 0.1586E-08 0.8517    
   3     -0.1169041E-05 0.2218E-08 -0.1167932E-05 0.1290E-08 0.6147    
   4     -0.1167414E-05 0.2256E-08 -0.1167805E-05 0.1120E-08 0.4232    
   5     -0.1169114E-05 0.2226E-08 -0.1168070E-05 0.1001E-08 0.3864    
   6     -0.1164790E-05 0.2225E-08 -0.1167521E-05 0.9125E-09 0.6694    
   7     -0.1170381E-05 0.2946E-08 -0.1167772E-05 0.8718E-09 0.7013    
   8     -0.1166062E-05 0.2212E-08 -0.1167543E-05 0.8111E-09 0.6751    
   9     -0.1162086E-05 0.2239E-08 -0.1166915E-05 0.7626E-09  1.243    
  10     -0.1163928E-05 0.2242E-08 -0.1166607E-05 0.7220E-09  1.281    
  11     -0.1160711E-05 0.4631E-08 -0.1166469E-05 0.7131E-09  1.311    
  12     -0.1161877E-05 0.2229E-08 -0.1166045E-05 0.6792E-09  1.541    
  13     -0.1165092E-05 0.2245E-08 -0.1165965E-05 0.6501E-09  1.426    
  14     -0.1169128E-05 0.2276E-08 -0.1166205E-05 0.6251E-09  1.454    
  15     -0.1168792E-05 0.2231E-08 -0.1166394E-05 0.6019E-09  1.439    
