  16      0.3005366E-03 0.2147E-06  0.3005493E-03 0.5369E-07 0.6722    
  17      0.3005105E-03 0.2148E-06  0.3005470E-03 0.5209E-07 0.6322    
  18      0.3010672E-03 0.2150E-06  0.3005760E-03 0.5062E-07 0.9212    
  19      0.3007837E-03 0.2150E-06  0.3005869E-03 0.4927E-07 0.9191    
  20      0.3005037E-03 0.2148E-06  0.3005827E-03 0.4803E-07 0.8783    
  21      0.3006373E-03 0.2150E-06  0.3005853E-03 0.4687E-07 0.8374    
  22      0.3007027E-03 0.2149E-06  0.3005907E-03 0.4580E-07 0.8111    
  23      0.3005736E-03 0.2148E-06  0.3005899E-03 0.4479E-07 0.7745    
  24      0.3005743E-03 0.2148E-06  0.3005893E-03 0.4385E-07 0.7410    
  25      0.3004794E-03 0.2149E-06  0.3005849E-03 0.4296E-07 0.7206    
  26      0.3005563E-03 0.2149E-06  0.3005838E-03 0.4213E-07 0.6925    
  27      0.3005161E-03 0.2149E-06  0.3005813E-03 0.4134E-07 0.6696    
  28      0.3008139E-03 0.2150E-06  0.3005896E-03 0.4060E-07 0.6866    
  29      0.3004123E-03 0.2147E-06  0.3005835E-03 0.3989E-07 0.6856    
  30      0.3006741E-03 0.2149E-06  0.3005865E-03 0.3922E-07 0.6678    
   
   
 Integral=   3.0058648113674886E-004 +-   3.9219132366674863E-008
 with chisq    =  0.66783841905666597     
  
  
  
 For xq =          400 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.8467986E-04 0.1929E-05  0.8467986E-04 0.1929E-05  0.000    
   2      0.8308894E-04 0.3691E-06  0.8314724E-04 0.3658E-06 0.6678    
   3      0.8364062E-04 0.2507E-06  0.8348228E-04 0.2070E-06 0.9535    
   4      0.8327122E-04 0.2251E-06  0.8338623E-04 0.1526E-06 0.7959    
   5      0.8361008E-04 0.2172E-06  0.8346012E-04 0.1249E-06 0.7748    
   6      0.8316533E-04 0.2125E-06  0.8338511E-04 0.1077E-06 0.9053    
   7      0.8319659E-04 0.2112E-06  0.8334647E-04 0.9597E-07 0.8601    
   8      0.8323337E-04 0.2101E-06  0.8332706E-04 0.8731E-07 0.7720    
   9      0.8342537E-04 0.2100E-06  0.8334152E-04 0.8062E-07 0.6989    
  10      0.8339173E-04 0.2094E-06  0.8334800E-04 0.7524E-07 0.6270    
  11      0.8291125E-04 0.2098E-06  0.8329881E-04 0.7083E-07 0.9449    
  12      0.8325448E-04 0.2101E-06  0.8329431E-04 0.6713E-07 0.8629    
  13      0.8339410E-04 0.2109E-06  0.8330348E-04 0.6396E-07 0.8079    
  14      0.8342577E-04 0.2115E-06  0.8331374E-04 0.6123E-07 0.7693    
  15      0.8300512E-04 0.2117E-06  0.8329013E-04 0.5882E-07 0.8537    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=  933897762.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  49
   1      0.8328562E-04 0.6628E-07  0.8328562E-04 0.6628E-07  0.000    
   2      0.8333950E-04 0.6634E-07  0.8331255E-04 0.4689E-07 0.3302    
   3      0.8320043E-04 0.6627E-07  0.8327521E-04 0.3828E-07  1.118    
   4      0.8328955E-04 0.6624E-07  0.8327880E-04 0.3314E-07 0.7571    
   5      0.8314161E-04 0.6622E-07  0.8325140E-04 0.2964E-07  1.425    
   6      0.8337119E-04 0.6629E-07  0.8327140E-04 0.2706E-07  1.685    
   7      0.8331853E-04 0.6626E-07  0.8327814E-04 0.2505E-07  1.476    
   8      0.8328431E-04 0.6626E-07  0.8327891E-04 0.2343E-07  1.266    
   9      0.8325515E-04 0.6626E-07  0.8327627E-04 0.2209E-07  1.122    
  10      0.8325866E-04 0.6626E-07  0.8327451E-04 0.2096E-07  1.005    
  11      0.8337951E-04 0.6631E-07  0.8328407E-04 0.1998E-07  1.132    
  12      0.8332996E-04 0.6627E-07  0.8328790E-04 0.1913E-07  1.069    
  13      0.8332270E-04 0.6629E-07  0.8329058E-04 0.1838E-07  1.001    
  14      0.8336293E-04 0.6630E-07  0.8329575E-04 0.1771E-07  1.009    
  15      0.8323953E-04 0.6626E-07  0.8329200E-04 0.1711E-07 0.9854    
  16      0.8330526E-04 0.6632E-07  0.8329283E-04 0.1657E-07 0.9222    
  17      0.8330960E-04 0.6629E-07  0.8329382E-04 0.1607E-07 0.8683    
  18      0.8332653E-04 0.6627E-07  0.8329564E-04 0.1562E-07 0.8307    
  19      0.8334162E-04 0.6628E-07  0.8329806E-04 0.1520E-07 0.8099    
  20      0.8336727E-04 0.6635E-07  0.8330152E-04 0.1482E-07 0.8217    
  21      0.8327904E-04 0.6631E-07  0.8330045E-04 0.1446E-07 0.7861    
  22      0.8327398E-04 0.6629E-07  0.8329925E-04 0.1413E-07 0.7559    
  23      0.8329061E-04 0.6638E-07  0.8329887E-04 0.1382E-07 0.7223    
  24      0.8321892E-04 0.6627E-07  0.8329555E-04 0.1353E-07 0.7515    
  25      0.8336416E-04 0.6634E-07  0.8329829E-04 0.1326E-07 0.7630    
  26      0.8323195E-04 0.6626E-07  0.8329574E-04 0.1300E-07 0.7710    
  27      0.8333090E-04 0.6629E-07  0.8329704E-04 0.1276E-07 0.7518    
  28      0.8319895E-04 0.6627E-07  0.8329355E-04 0.1253E-07 0.8021    
  29      0.8328547E-04 0.6630E-07  0.8329327E-04 0.1231E-07 0.7739    
  30      0.8327821E-04 0.6629E-07  0.8329277E-04 0.1210E-07 0.7490    
   
   
 Integral=   8.3292765566519224E-005 +-   1.2102210785552611E-008
 with chisq    =  0.74898600391816572     
  
  
  
 For xq =          500 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.3010190E-04 0.6541E-06  0.3010190E-04 0.6541E-06  0.000    
   2      0.2987863E-04 0.1311E-06  0.2988737E-04 0.1290E-06 0.1128    
   3      0.2993465E-04 0.9401E-07  0.2991821E-04 0.7602E-07 0.1003    
   4      0.3003772E-04 0.8580E-07  0.2997090E-04 0.5687E-07 0.4296    
   5      0.3009048E-04 0.8313E-07  0.3000920E-04 0.4692E-07 0.6753    
   6      0.3005790E-04 0.8214E-07  0.3002121E-04 0.4074E-07 0.5931    
   7      0.3007292E-04 0.8181E-07  0.3003152E-04 0.3646E-07 0.5475    
   8      0.3009238E-04 0.8171E-07  0.3004166E-04 0.3329E-07 0.5353    
   9      0.2997264E-04 0.8134E-07  0.3003179E-04 0.3082E-07 0.5454    
  10      0.2988133E-04 0.8134E-07  0.3001307E-04 0.2882E-07 0.8153    
  11      0.3003664E-04 0.8184E-07  0.3001567E-04 0.2718E-07 0.7410    
  12      0.2987278E-04 0.8151E-07  0.3000149E-04 0.2579E-07 0.9236    
  13      0.3004934E-04 0.8225E-07  0.3000579E-04 0.2461E-07 0.8722    
  14      0.3002879E-04 0.8233E-07  0.3000768E-04 0.2358E-07 0.8105    
  15      0.2999533E-04 0.8271E-07  0.3000675E-04 0.2267E-07 0.7542    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=  933897762.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  49
   1      0.3004458E-04 0.2592E-07  0.3004458E-04 0.2592E-07  0.000    
   2      0.3005914E-04 0.2594E-07  0.3005186E-04 0.1834E-07 0.1576    
   3      0.3000139E-04 0.2589E-07  0.3003503E-04 0.1496E-07  1.343    
   4      0.3002617E-04 0.2591E-07  0.3003282E-04 0.1296E-07 0.9248    
   5      0.3004118E-04 0.2593E-07  0.3003449E-04 0.1159E-07 0.7143    
   6      0.3004689E-04 0.2594E-07  0.3003655E-04 0.1058E-07 0.6095    
   7      0.3002996E-04 0.2592E-07  0.3003561E-04 0.9797E-08 0.5172    
   8      0.3001256E-04 0.2591E-07  0.3003273E-04 0.9164E-08 0.5422    
   9      0.3001351E-04 0.2592E-07  0.3003060E-04 0.8640E-08 0.5355    
  10      0.3001359E-04 0.2591E-07  0.3002890E-04 0.8196E-08 0.5191    
  11      0.3003117E-04 0.2591E-07  0.3002910E-04 0.7815E-08 0.4679    
  12      0.3005634E-04 0.2594E-07  0.3003137E-04 0.7483E-08 0.5173    
  13      0.3000900E-04 0.2591E-07  0.3002965E-04 0.7189E-08 0.5315    
  14      0.3003746E-04 0.2593E-07  0.3003021E-04 0.6928E-08 0.4971    
  15      0.3008327E-04 0.2593E-07  0.3003376E-04 0.6693E-08 0.7416    
  16      0.3003397E-04 0.2593E-07  0.3003377E-04 0.6481E-08 0.6921    
  17      0.3004436E-04 0.2592E-07  0.3003440E-04 0.6287E-08 0.6587    
  18      0.3007768E-04 0.2594E-07  0.3003680E-04 0.6110E-08 0.7749    
  19      0.3004426E-04 0.2592E-07  0.3003720E-04 0.5947E-08 0.7362    
  20      0.3002817E-04 0.2593E-07  0.3003675E-04 0.5797E-08 0.7035    
  21      0.3004214E-04 0.2593E-07  0.3003700E-04 0.5657E-08 0.6704    
  22      0.3003744E-04 0.2593E-07  0.3003702E-04 0.5527E-08 0.6385    
  23      0.3000476E-04 0.2593E-07  0.3003562E-04 0.5406E-08 0.6767    
  24      0.3000410E-04 0.2590E-07  0.3003431E-04 0.5292E-08 0.7089    
  25      0.3007471E-04 0.2593E-07  0.3003593E-04 0.5185E-08 0.7766    
  26      0.3001899E-04 0.2592E-07  0.3003528E-04 0.5084E-08 0.7620    
  27      0.3002129E-04 0.2591E-07  0.3003476E-04 0.4989E-08 0.7435    
  28      0.3001836E-04 0.2592E-07  0.3003418E-04 0.4899E-08 0.7303    
  29      0.3006470E-04 0.2593E-07  0.3003523E-04 0.4814E-08 0.7520    
  30      0.3004345E-04 0.2593E-07  0.3003550E-04 0.4733E-08 0.7294    
   
   
 Integral=   3.0035504042643587E-005 +-   4.7329984620863202E-009
 with chisq    =  0.72940998286590919     
  
  
  
 For xq =          600 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.1256908E-04 0.2685E-06  0.1256908E-04 0.2685E-06  0.000    
   2      0.1270028E-04 0.5594E-07  0.1269493E-04 0.5450E-07 0.2265    
   3      0.1284411E-04 0.4165E-07  0.1279025E-04 0.3293E-07  2.479    
   4      0.1277361E-04 0.3822E-07  0.1278312E-04 0.2492E-07  1.685    
   5      0.1279868E-04 0.3727E-07  0.1278797E-04 0.2070E-07  1.291    
   6      0.1279741E-04 0.3695E-07  0.1279024E-04 0.1806E-07  1.041    
   7      0.1271178E-04 0.3668E-07  0.1277500E-04 0.1620E-07  1.480    
   8      0.1276264E-04 0.3662E-07  0.1277297E-04 0.1482E-07  1.282    
   9      0.1276280E-04 0.3666E-07  0.1277154E-04 0.1374E-07  1.129    
  10      0.1278714E-04 0.3669E-07  0.1277347E-04 0.1286E-07  1.021    
  11      0.1280932E-04 0.3703E-07  0.1277736E-04 0.1215E-07  1.002    
  12      0.1277177E-04 0.3697E-07  0.1277682E-04 0.1154E-07 0.9129    
  13      0.1276755E-04 0.3703E-07  0.1277599E-04 0.1102E-07 0.8415    
  14      0.1281869E-04 0.3718E-07  0.1277947E-04 0.1056E-07 0.8703    
  15      0.1281561E-04 0.3742E-07  0.1278216E-04 0.1017E-07 0.8698    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=  933897762.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  49
   1      0.1280919E-04 0.1175E-07  0.1280919E-04 0.1175E-07  0.000    
   2      0.1281742E-04 0.1176E-07  0.1281330E-04 0.8315E-08 0.2445    
   3      0.1278956E-04 0.1175E-07  0.1280540E-04 0.6787E-08  1.481    
   4      0.1277054E-04 0.1174E-07  0.1279670E-04 0.5876E-08  3.188    
   5      0.1279300E-04 0.1176E-07  0.1279596E-04 0.5256E-08  2.411    
   6      0.1278936E-04 0.1175E-07  0.1279486E-04 0.4798E-08  1.982    
   7      0.1280135E-04 0.1176E-07  0.1279579E-04 0.4442E-08  1.695    
   8      0.1279322E-04 0.1175E-07  0.1279547E-04 0.4155E-08  1.459    
   9      0.1279503E-04 0.1175E-07  0.1279542E-04 0.3917E-08  1.276    
  10      0.1281008E-04 0.1176E-07  0.1279689E-04 0.3717E-08  1.290    
  11      0.1279274E-04 0.1175E-07  0.1279651E-04 0.3543E-08  1.173    
  12      0.1280832E-04 0.1176E-07  0.1279749E-04 0.3393E-08  1.150    
  13      0.1282058E-04 0.1176E-07  0.1279927E-04 0.3260E-08  1.351    
  14      0.1279180E-04 0.1175E-07  0.1279874E-04 0.3141E-08  1.276    
  15      0.1279814E-04 0.1175E-07  0.1279870E-04 0.3035E-08  1.185    
  16      0.1281253E-04 0.1175E-07  0.1279957E-04 0.2938E-08  1.193    
  17      0.1279887E-04 0.1174E-07  0.1279952E-04 0.2850E-08  1.119    
  18      0.1281357E-04 0.1176E-07  0.1280030E-04 0.2770E-08  1.132    
  19      0.1280966E-04 0.1176E-07  0.1280080E-04 0.2696E-08  1.102    
  20      0.1278392E-04 0.1174E-07  0.1279995E-04 0.2628E-08  1.147    
  21      0.1278192E-04 0.1175E-07  0.1279910E-04 0.2565E-08  1.202    
  22      0.1278443E-04 0.1175E-07  0.1279843E-04 0.2506E-08  1.216    
  23      0.1276733E-04 0.1173E-07  0.1279708E-04 0.2450E-08  1.465    
  24      0.1279913E-04 0.1175E-07  0.1279717E-04 0.2399E-08  1.403    
  25      0.1280302E-04 0.1176E-07  0.1279740E-04 0.2350E-08  1.354    
  26      0.1280899E-04 0.1176E-07  0.1279785E-04 0.2305E-08  1.337    
  27      0.1278019E-04 0.1174E-07  0.1279719E-04 0.2262E-08  1.369    
  28      0.1281804E-04 0.1176E-07  0.1279794E-04 0.2221E-08  1.431    
  29      0.1279455E-04 0.1175E-07  0.1279782E-04 0.2182E-08  1.383    
  30      0.1283251E-04 0.1177E-07  0.1279898E-04 0.2146E-08  1.626    
   
   
 Integral=   1.2798979935785100E-005 +-   2.1456970862397075E-009
 with chisq    =   1.6259396588252986     
  
  
  
 For xq =          700 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.5846667E-05 0.1203E-06  0.5846667E-05 0.1203E-06  0.000    
   2      0.6124786E-05 0.2708E-07  0.6112516E-05 0.2588E-07  4.871    
   3      0.6122844E-05 0.2047E-07  0.6118979E-05 0.1595E-07  2.448    
   4      0.6117758E-05 0.1904E-07  0.6118467E-05 0.1220E-07  1.621    
